state,x,y
Haryana,-160,180
Jammu and Kashmir,-100,350
Himachal Pradesh,-120,260
Punjab,-180,240
Delhi,-120,160
Mizoram,300,-10
Meghalaya,220,50
Assam,250,100
Sikkim,160,140
Telangana,-100,-140
Odisha,100,-70
Karnataka,-200,-260
Kerala,-200,-330
Goa,-220,-210
Maharashtra,-190,-100
Arunachal Pradesh,280,140
Andra Pradesh,-50,-220
Jharkhand,110,60
Bihar,70,10
West Bengal,140,0
Uttrakhand,-80,220
Tripura,220,20
Manipur,320,50
Nagaland,320,90
Chattisgarh,30,-30
Gujarat,-290,0
Rajasthan,-220,120
Madhya Pradesh,-100,20
Tamil Nadu,-50,-330
Bihar,80,100
Uttar Pradesh,-50,120
